Depthm,T_degC,Salnty,O2ml_L,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM
69,11.61,33.602,4.15,0.4,0.3,1.31,13.9,0.23,15.1,0.01
0,12.72,33.536,6.09,2.52,0.69,0.57,6.8,0.08,4.3,0.09
2,12.72,33.536,6.09,2.52,0.69,0.57,6.8,0.08,4.3,0.09
10,12.62,33.546,5.92,1.77,0.6,0.66,7.4,0.12,5.6,0.18
19,11.94,33.585,4.9,0.63,0.35,1.1,11.4,0.31,12.3,0.08
20,11.88,33.587,4.85,0.61,0.35,1.12,11.6,0.31,12.6,0.07
30,11.74,33.586,4.53,0.44,0.32,1.25,13.0,0.33,14.4,0.01
40,11.34,33.621,3.96,0.19,0.25,1.44,15.4,0.1,17.1,0.01
50,11.16,33.648,3.75,0.15,0.19,1.5,16.6,0.07,18.1,0.01
60,10.97,33.687,3.59,0.12,0.17,1.57,18.2,0.07,19.2,0.03
70,10.66,33.745,3.12,0.08,0.12,1.72,20.3,0.02,21.1,0.0
75,10.53,33.782,3.08,0.07,0.14,1.76,21.3,0.02,21.6,0.0
84,10.37,33.791,3.02,0.06,0.17,1.81,22.8,0.02,22.2,0.01
99,10.21,33.808,2.94,0.04,0.11,1.85,23.2,0.01,22.9,0.0
100,10.11,33.827,2.92,0.04,0.11,1.86,23.4,0.01,23.0,0.0
119,9.69,33.916,2.53,0.03,0.11,2.01,27.2,0.01,25.4,0.0
125,9.65,33.937,2.46,0.02,0.1,2.04,28.1,0.01,25.9,0.0
138,9.44,33.986,2.33,0.01,0.09,2.1,29.8,0.01,26.7,0.0
150,9.18,34.031,2.16,0.01,0.08,2.17,31.7,0.01,27.6,0.0
169,9.08,34.061,1.91,0.01,0.06,2.27,34.4,0.01,28.8,0.0
199,8.91,34.102,1.75,0.0,0.06,2.34,36.6,0.0,29.5,0.0
0,12.63,33.575,6.07,1.92,0.52,0.77,7.8,0.07,6.5,0.17
2,12.63,33.575,6.07,1.92,0.52,0.77,7.8,0.07,6.5,0.17
7,12.65,33.574,6.07,1.98,0.5,0.74,7.8,0.06,6.4,0.05
10,12.55,33.571,6.05,1.98,0.57,0.75,7.8,0.06,6.6,0.05
15,12.53,33.576,6.01,1.97,0.66,0.76,7.9,0.07,6.8,0.05
20,12.38,33.585,5.83,1.38,0.57,0.82,8.7,0.12,7.8,0.07
23,12.27,33.592,5.62,0.97,0.49,0.89,9.2,0.15,9.1,0.08
30,11.37,33.684,4.65,0.37,0.32,1.27,14.1,0.22,15.3,0.03
31,11.34,33.682,4.49,0.31,0.3,1.33,14.9,0.22,16.3,0.02
38,10.76,33.747,3.69,0.17,0.2,1.59,19.0,0.06,20.4,0.01
45,10.31,33.792,3.2,0.08,0.13,1.76,21.7,0.02,22.7,0.01
50,10.22,33.804,3.12,0.06,0.13,1.79,22.3,0.01,23.2,0.0
52,10.22,33.807,3.1,0.06,0.13,1.8,22.5,0.01,23.3,0.0
60,9.89,33.878,2.77,0.03,0.12,1.93,25.5,0.01,24.9,0.0
69,9.68,33.923,2.6,0.02,0.08,2.01,27.4,0.0,25.9,0.0
75,9.58,33.95,2.54,0.02,0.08,2.04,28.0,0.0,26.2,0.0
85,9.54,33.96,2.47,0.01,0.09,2.06,28.6,0.0,26.5,0.0
100,9.44,33.981,2.39,0.01,0.09,2.1,29.6,0.0,27.0,0.0
120,9.28,34.004,2.3,0.01,0.08,2.14,30.8,0.0,27.5,0.0
125,9.21,34.022,2.27,0.01,0.08,2.15,31.1,0.0,27.6,0.0
140,9.16,34.035,2.18,0.0,0.08,2.19,32.3,0.0,28.1,0.0
150,9.11,34.044,2.12,0.0,0.08,2.22,33.1,0.0,28.4,0.0
170,8.98,34.09,1.93,0.01,0.08,2.29,35.2,0.01,29.3,0.0
199,8.76,34.128,1.44,0.0,0.09,2.48,39.6,0.01,31.2,0.0
0,12.07,32.919,6.31,0.85,0.25,0.49,4.6,0.08,2.3,0.0
2,12.07,32.919,6.31,0.85,0.25,0.49,4.6,0.08,2.3,0.0
10,12.05,32.918,6.32,0.88,0.22,0.5,4.5,0.08,2.2,0.0
20,12.03,32.913,6.31,0.89,0.23,0.5,4.6,0.08,2.2,0.0
30,11.71,32.915,6.17,0.78,0.3,0.61,5.4,0.15,3.9,0.04
39,11.35,33.008,5.89,0.46,0.26,0.8,6.8,0.22,7.0,0.01
50,11.17,33.017,5.82,0.38,0.19,0.84,7.2,0.19,7.5,0.01
60,11.23,33.19,5.93,0.24,0.4,0.89,8.8,0.47,8.6,0.01
68,11.23,33.228,5.87,0.18,0.18,0.93,9.2,0.36,9.4,0.0
75,10.96,33.27,5.45,0.12,0.14,1.08,10.9,0.23,11.9,0.0
85,10.31,33.331,4.69,0.05,0.08,1.34,14.0,0.09,16.1,0.0
100,10.04,33.514,3.99,0.04,0.05,1.62,18.2,0.09,20.4,0.0
119,9.5,33.729,3.32,0.01,0.03,1.86,23.6,0.06,24.2,0.0
125,9.33,33.801,3.1,0.01,0.04,1.93,25.1,0.06,25.3,0.0
140,9.15,33.873,2.64,0.0,0.05,2.09,28.5,0.06,27.4,0.0
150,8.92,33.938,2.57,0.0,0.04,2.12,30.2,0.06,27.8,0.0
170,8.64,33.989,2.42,0.01,0.02,2.18,33.0,0.06,28.7,0.0
199,8.1,34.003,2.74,0.0,0.04,2.12,36.2,0.02,28.6,0.0
0,13.52,32.937,6.01,0.45,0.15,0.36,2.1,0.01,0.0,0.0
2,13.52,32.937,6.01,0.45,0.15,0.36,2.1,0.01,0.0,0.0
10,13.52,32.934,6.01,0.42,0.13,0.36,2.0,0.01,0.0,0.0
