Depthm,T_degC,Salnty,O2ml_L,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM
11,17.086,33.2743,5.639,0.168,0.033,0.32,1.88,0.015,0.0,0.15
15,17.046,33.2689,5.649,0.17,0.037,0.32,1.92,0.012,0.0,0.18
20,16.77,33.2578,5.729,0.172,0.04,0.32,1.98,0.01,0.0,0.12
29,15.841,33.2088,5.92,0.175,0.044,0.31,2.09,0.01,0.0,0.0
30,15.765,33.2016,5.927,0.181,0.047,0.31,2.1,0.01,0.0,0.0
40,15.676,33.2514,5.857,0.236,0.075,0.31,2.17,0.011,0.0,0.0
50,14.778,33.2262,5.958,0.401,0.24,0.34,2.02,0.01,0.0,0.01
51,14.649,33.2296,5.946,0.417,0.256,0.34,2.0,0.011,0.0,0.01
58,14.425,33.2515,5.908,0.481,0.308,0.37,1.98,0.022,0.0,0.13
65,13.89,33.2449,5.891,0.386,0.292,0.39,2.39,0.065,0.3,0.23
75,13.364,33.2665,5.812,0.195,0.173,0.49,2.69,0.311,1.3,0.37
87,12.819,33.2247,5.778,0.162,0.143,0.51,3.25,0.381,2.0,0.06
100,12.23,33.256,5.577,0.121,0.116,0.59,4.44,0.081,4.0,0.13
113,11.251,33.2864,5.24,0.06,0.058,0.83,7.52,0.024,8.1,0.0
119,11.225,33.305,5.188,0.056,0.063,0.86,7.89,0.025,8.6,0.08
125,11.059,33.3995,5.124,0.052,0.063,0.92,8.91,0.03,9.7,0.07
140,10.419,33.4661,4.747,0.041,0.062,1.06,11.47,0.025,12.4,0.04
150,10.045,33.5149,4.523,0.029,0.047,1.25,15.12,0.02,15.5,0.03
170,9.166,33.7093,3.711,0.004,0.016,1.64,22.42,0.017,21.6,0.01
200,8.611,33.8938,3.302,0.002,0.015,1.83,28.91,0.0,24.8,0.04
0,17.977,33.3386,5.486,0.084,0.018,0.3,2.45,0.015,0.0,0.02
2,17.977,33.3386,5.486,0.084,0.018,0.3,2.45,0.015,0.0,0.02
10,17.972,33.3398,5.495,0.087,0.014,0.3,2.44,0.013,0.0,0.01
20,17.604,33.3545,5.606,0.093,0.029,0.29,2.57,0.01,0.0,0.04
26,16.868,33.3858,5.701,0.096,0.038,0.28,2.64,0.012,0.0,0.06
30,16.788,33.3898,5.777,0.096,0.033,0.28,2.64,0.01,0.0,0.05
40,16.674,33.3909,5.705,0.095,0.02,0.28,2.64,0.012,0.0,0.04
50,16.502,33.3978,5.713,0.103,0.027,0.28,2.64,0.013,0.0,0.1
62,16.014,33.4123,5.81,0.145,0.038,0.26,2.65,0.016,0.0,0.05
75,15.236,33.439,5.915,0.162,0.036,0.26,2.65,0.012,0.0,0.05
87,14.695,33.4384,5.89,0.213,0.071,0.27,2.71,0.014,0.0,0.04
100,13.748,33.3387,5.923,0.321,0.156,0.32,3.05,0.02,0.0,0.03
101,13.712,33.3417,5.846,0.329,0.162,0.32,3.08,0.022,0.0,0.03
112,13.467,33.36,5.731,0.32,0.163,0.37,3.45,0.064,0.5,0.1
125,12.555,33.3928,5.518,0.249,0.191,0.52,4.79,0.11,3.3,0.03
126,12.553,33.3682,5.45,0.244,0.193,0.53,4.89,0.109,3.5,0.02
140,12.052,33.3773,5.342,0.21,0.188,0.6,5.59,0.073,4.8,0.04
150,10.999,33.4034,5.269,0.153,0.14,0.82,8.6,0.06,8.3,0.05
170,9.897,33.5222,4.494,0.039,0.043,1.25,14.62,0.024,15.4,0.06
200,9.088,33.7905,3.595,0.003,0.018,1.68,24.33,0.0,22.4,0.04
0,18.346,33.3984,5.494,0.073,0.013,0.29,2.58,0.011,0.0,0.04
2,18.346,33.3984,5.494,0.073,0.013,0.29,2.58,0.011,0.0,0.04
10,18.313,33.3961,5.478,0.075,0.009,0.29,2.56,0.011,0.1,0.06
20,18.101,33.4024,5.53,0.091,0.009,0.3,2.6,0.01,0.0,0.04
25,17.423,33.4167,5.565,0.099,0.009,0.3,2.62,0.009,0.0,0.03
30,16.907,33.4305,5.76,0.095,0.01,0.29,2.65,0.01,0.0,0.04
40,16.775,33.4186,5.691,0.087,0.011,0.28,2.71,0.012,0.0,0.06
50,16.701,33.4421,5.681,0.093,0.013,0.28,2.66,0.012,0.0,0.05
62,16.382,33.4934,5.728,0.115,0.035,0.27,2.65,0.011,0.0,0.06
75,15.775,33.6533,5.865,0.157,0.046,0.24,2.56,0.01,0.0,0.03
76,15.779,33.6393,5.816,0.16,0.047,0.24,2.55,0.007,0.0,0.03
87,15.085,33.5934,5.793,0.248,0.097,0.26,2.64,0.009,0.0,0.03
100,14.337,33.4834,5.779,0.272,0.171,0.28,2.85,0.009,0.0,0.02
112,13.502,33.4379,5.633,0.28,0.182,0.39,3.59,0.09,0.9,0.07
125,12.874,33.4576,5.467,0.263,0.189,0.51,4.7,0.13,3.0,0.06
126,12.771,33.4571,5.417,0.262,0.19,0.52,4.79,0.136,3.2,0.06
141,11.789,33.4556,5.146,0.175,0.131,0.71,6.82,0.019,6.7,0.04
150,11.598,33.4789,5.118,0.147,0.114,0.8,8.09,0.03,8.2,0.04
171,10.505,33.4799,4.765,0.081,0.075,1.01,11.06,0.039,11.6,0.03
200,9.554,33.6553,3.954,0.015,0.034,1.5,19.71,0.014,19.2,0.04
0,21.102,33.6978,5.576,0.445,0.115,0.26,2.47,0.017,0.3,1.09
2,21.102,33.6978,5.576,0.445,0.115,0.26,2.47,0.017,0.3,1.09
5,19.757,33.6562,5.834,0.382,0.132,0.27,2.04,0.016,0.0,0.27
10,15.802,33.5871,6.463,2.364,0.699,0.42,3.33,0.053,1.1,1.33
15,13.622,33.5215,6.313,2.498,0.747,0.55,4.75,0.087,2.7,1.71
0,21.058,33.6986,5.494,0.44,0.113,0.28,2.44,0.017,0.0,0.18
2,21.058,33.6986,5.494,0.44,0.113,0.28,2.44,0.017,0.0,0.18
9,18.159,33.6337,5.808,0.427,0.172,0.32,2.22,0.023,0.4,1.39
10,17.16,33.6136,6.109,0.549,0.229,0.34,2.42,0.02,0.3,1.04
12,15.654,33.5666,6.309,0.793,0.343,0.37,2.81,0.02,0.1,0.33
20,12.386,33.5288,5.819,0.984,0.441,0.77,7.06,0.15,6.4,0.94
24,11.961,33.488,5.153,1.08,0.49,0.97,9.19,0.221,9.5,1.25
30,11.643,33.5043,4.619,0.754,0.381,1.14,10.99,0.33,12.1,1.15
32,11.356,33.5172,4.52,0.645,0.344,1.19,11.59,0.372,12.9,1.12
40,10.918,33.6121,3.838,0.422,0.303,1.46,14.37,0.297,15.2,0.96
50,10.729,33.6438,3.238,0.279,0.468,1.68,17.32,0.3,17.4,2.42
51,10.669,33.6429,3.27,0.265,0.485,1.7,17.62,0.304,17.6,2.57
58,10.566,33.6535,3.127,0.274,0.562,1.76,19.7,0.292,18.8,1.41
0,21.01,33.6819,5.445,0.183,0.054,0.28,2.56,0.024,0.3,6.67
2,21.01,33.6819,5.445,0.183,0.054,0.28,2.56,0.024,0.3,6.67
10,19.817,33.6478,5.762,0.234,0.054,0.26,2.51,0.029,0.0,3.92
20,13.501,33.5065,6.208,0.762,0.25,0.54,5.22,0.08,2.5,1.16
30,12.225,33.4377,5.141,0.438,0.205,0.88,7.57,0.176,8.4,2.21
40,11.857,33.5294,4.736,0.236,0.16,1.14,9.88,0.088,12.6,3.41
50,11.019,33.5249,4.211,0.217,0.158,1.3,13.69,0.116,15.1,3.39
60,10.34,33.5443,3.97,0.094,0.087,1.41,16.44,0.046,17.3,0.67
70,10.055,33.6393,3.497,0.051,0.07,1.62,19.85,0.034,20.0,0.41
75,10.221,33.7391,2.827,0.057,0.079,1.73,21.44,0.03,21.1,0.45
85,10.096,33.7955,2.562,0.068,0.097,1.94,24.61,0.032,23.4,0.53
100,9.976,33.8764,2.299,0.04,0.123,2.03,27.75,0.04,24.5,0.38
120,9.826,33.9793,2.09,0.028,0.133,2.12,30.33,0.036,25.3,0.48
125,9.831,34.0035,1.945,0.028,0.138,2.14,30.88,0.04,25.6,0.49
140,9.806,34.054,1.784,0.027,0.154,2.21,32.51,0.034,26.6,0.5
150,9.889,34.1132,1.706,0.023,0.148,2.26,33.34,0.03,26.9,0.52
171,9.676,34.1497,1.418,0.014,0.135,2.36,35.08,0.032,27.6,0.57
200,9.682,34.2397,1.135,0.025,0.092,2.46,37.28,0.031,28.1,0.32
0,20.025,33.6457,5.492,0.233,0.079,0.32,2.39,0.0,0.2,2.75
2,20.025,33.6457,5.492,0.233,0.079,0.32,2.39,0.0,0.2,2.75
10,18.437,33.5918,5.68,0.171,0.045,0.36,2.33,0.0,0.1,2.21
20,15.421,33.5623,6.082,0.313,0.073,0.42,2.98,0.068,0.6,2.02
30,12.792,33.5025,5.18,0.341,0.172,0.9,6.06,0.256,8.1,2.8
40,12.516,33.5539,4.93,0.283,0.158,1.06,7.66,0.106,11.0,2.86
50,11.45,33.5176,4.639,0.198,0.14,1.19,10.86,0.059,13.1,1.27
60,10.743,33.5221,4.194,0.136,0.132,1.35,14.37,0.061,16.2,1.71
70,10.347,33.5531,3.946,0.082,0.096,1.44,16.41,0.052,17.6,1.32
75,10.177,33.6175,3.862,0.085,0.098,1.58,18.66,0.04,19.3,1.03
86,10.162,33.7545,2.674,0.09,0.101,1.89,23.61,0.025,22.9,0.38
100,10.03,33.8413,2.385,0.048,0.118,1.99,26.52,0.017,24.1,0.31
119,9.753,33.9489,2.187,0.059,0.142,2.1,29.73,0.017,25.5,0.28
125,9.773,33.9903,2.106,0.05,0.143,2.15,30.66,0.02,25.8,0.26
140,10.009,34.0877,1.576,0.027,0.145,2.28,33.0,0.012,26.7,0.21
150,9.715,34.0887,1.567,0.024,0.133,2.32,33.85,0.01,27.1,0.22
171,9.85,34.204,1.317,0.018,0.109,2.39,35.63,0.021,28.0,0.23
200,10.016,34.3416,0.825,0.011,0.091,2.54,37.53,0.012,28.4,0.24
0,19.809,33.6237,5.518,0.168,0.042,0.31,2.06,0.015,0.0,2.01
2,19.809,33.6237,5.518,0.168,0.042,0.31,2.06,0.015,0.0,2.01
10,18.898,33.5913,5.703,0.169,0.041,0.3,2.03,0.02,0.0,0.24
20,16.481,33.5632,6.244,0.506,0.163,0.31,1.98,0.019,0.0,0.1
30,13.796,33.531,6.386,1.242,0.342,0.46,3.99,0.053,1.5,0.29
40,11.809,33.5064,5.036,0.914,0.37,0.98,9.26,0.182,9.7,0.33
50,11.371,33.5196,4.492,0.53,0.274,1.19,11.78,0.206,12.9,0.29
61,10.989,33.5685,3.941,0.253,0.175,1.39,14.41,0.26,16.1,0.42
70,10.59,33.6185,3.468,0.15,0.135,1.58,17.41,0.182,18.8,0.52
75,10.373,33.6397,3.486,0.114,0.115,1.62,18.82,0.14,19.7,0.41
86,9.714,33.6951,3.265,0.034,0.07,1.71,21.93,0.052,21.7,0.17
100,9.455,33.7617,3.124,0.012,0.054,1.8,24.59,0.037,23.3,0.15
120,9.178,33.8562,2.834,0.006,0.045,1.92,27.83,0.02,25.3,0.07
125,9.15,33.8812,2.854,0.006,0.046,1.95,28.68,0.02,25.6,0.14
140,9.015,33.9646,2.507,0.006,0.049,2.04,31.22,0.031,26.6,0.33
150,8.857,33.9718,2.484,0.009,0.057,2.15,32.97,0.03,27.1,0.28
170,9.397,34.1964,1.456,0.014,0.072,2.36,36.47,0.026,28.1,0.19
200,9.14,34.2333,1.254,0.008,0.079,2.46,39.56,0.033,29.3,0.31
0,18.378,33.595,5.581,0.181,0.041,0.32,1.83,0.012,0.0,0.64
2,18.378,33.595,5.581,0.181,0.041,0.32,1.83,0.012,0.0,0.64
10,17.393,33.5941,5.78,0.202,0.055,0.32,1.8,0.012,0.0,0.37
20,16.073,33.5964,6.043,0.287,0.079,0.38,2.14,0.09,0.6,0.42
21,15.533,33.5691,5.914,0.295,0.081,0.39,2.17,0.098,0.7,0.42
30,14.639,33.5515,5.839,0.378,0.152,0.52,2.76,0.26,2.5,0.49
31,14.595,33.5476,5.831,0.387,0.16,0.53,2.83,0.28,2.7,0.5
42,13.521,33.5258,5.526,0.479,0.224,0.73,3.98,0.472,5.6,0.6
50,13.034,33.518,5.321,0.424,0.232,0.85,5.3,0.39,7.6,0.74
51,12.824,33.5139,5.25,0.417,0.233,0.87,5.46,0.384,7.9,0.76
61,12.224,33.4879,4.992,0.295,0.207,0.97,7.45,0.148,9.7,1.17
71,11.453,33.4842,4.633,0.117,0.114,1.15,10.65,0.043,12.4,0.66
75,11.4,33.4874,4.654,0.103,0.106,1.18,11.24,0.04,13.0,0.57
86,10.945,33.5054,4.388,0.066,0.084,1.26,12.88,0.035,14.5,0.31
100,10.364,33.5571,4.001,0.054,0.077,1.43,16.24,0.03,17.2,0.24
101,10.288,33.5566,3.964,0.053,0.077,1.44,16.48,0.031,17.4,0.23
120,9.606,33.7332,3.29,0.017,0.148,1.74,22.91,0.019,21.8,0.28
125,9.454,33.7864,3.142,0.014,0.121,1.81,24.53,0.02,22.8,0.39
140,9.079,33.8944,2.681,0.004,0.038,2.0,29.39,0.016,25.7,0.72
150,9.03,33.9116,2.629,0.004,0.038,2.03,30.57,0.02,26.3,0.71
170,8.785,33.9759,2.448,0.004,0.037,2.09,32.94,0.015,27.5,0.68
200,8.608,34.0806,1.994,0.002,0.033,2.27,37.72,0.017,28.7,0.8
0,18.551,33.5351,5.566,0.225,0.044,0.31,1.74,0.021,0.0,0.58
2,18.551,33.5351,5.566,0.225,0.044,0.31,1.74,0.021,0.0,0.58
10,18.213,33.5413,5.709,0.269,0.059,0.31,1.53,0.02,0.0,0.84
11,18.144,33.5469,5.687,0.274,0.061,0.31,1.5,0.019,0.0,0.87
14,17.735,33.5458,5.722,0.326,0.062,0.3,1.4,0.018,0.0,0.33
20,17.198,33.5347,5.848,0.348,0.082,0.31,1.33,0.018,0.0,0.31
27,15.633,33.4766,6.165,0.53,0.158,0.34,1.64,0.029,0.1,0.49
30,15.229,33.4561,6.263,0.585,0.194,0.35,1.79,0.03,0.2,0.48
38,13.577,33.4114,6.178,0.731,0.29,0.39,2.18,0.046,0.6,0.45
48,13.094,33.3794,5.849,0.579,0.34,0.61,3.84,0.174,3.8,0.73
50,13.041,33.3816,5.876,0.553,0.341,0.64,4.02,0.2,4.2,0.76
54,12.831,33.4093,5.691,0.502,0.342,0.71,4.37,0.249,5.1,0.82
60,12.721,33.5087,5.433,0.325,0.252,0.86,5.05,0.416,7.6,0.62
70,11.905,33.5052,4.988,0.193,0.123,1.07,8.74,0.044,11.3,0.26
75,11.535,33.5156,4.776,0.157,0.109,1.14,10.1,0.04,12.4,0.29
86,10.985,33.5081,4.401,0.077,0.079,1.29,13.08,0.031,14.9,0.35
100,10.162,33.5935,3.802,0.034,0.057,1.54,18.24,0.027,19.0,0.31
121,9.442,33.7436,3.206,0.019,0.04,1.81,24.19,0.025,23.0,0.28
125,9.368,33.7858,3.166,0.017,0.039,1.84,25.18,0.02,23.5,0.27
140,9.083,33.8754,2.797,0.009,0.033,1.97,28.91,0.023,25.5,0.22
150,8.996,33.9005,2.739,0.007,0.034,2.02,30.46,0.02,26.3,0.29
170,8.701,33.9597,2.436,0.004,0.035,2.13,33.56,0.023,27.8,0.43
200,8.418,34.0234,2.137,0.003,0.03,2.25,37.73,0.027,29.4,0.24
0,18.226,33.5501,5.615,0.207,0.043,0.3,1.24,0.018,0.0,0.21
2,18.226,33.5501,5.615,0.207,0.043,0.3,1.24,0.018,0.0,0.21
10,18.134,33.5482,5.632,0.203,0.041,0.31,1.22,0.017,0.0,0.23
20,15.237,33.5648,6.159,0.813,0.208,0.37,1.19,0.067,0.7,0.72
30,13.977,33.4622,5.856,0.771,0.308,0.54,2.6,0.237,3.3,0.45
40,12.797,33.4319,5.523,0.634,0.337,0.72,4.84,0.367,6.2,0.31
49,12.518,33.514,5.395,0.398,0.279,0.89,6.2,0.608,8.9,0.48
50,12.485,33.4868,5.347,0.375,0.264,0.91,6.51,0.56,9.2,0.45
60,11.886,33.533,4.932,0.142,0.116,1.08,9.6,0.038,12.7,0.2
70,11.21,33.5327,4.629,0.085,0.113,1.19,11.69,0.038,14.8,0.22
75,10.941,33.532,4.458,0.068,0.099,1.31,13.87,0.03,16.6,0.18
86,10.078,33.6293,3.754,0.029,0.067,1.58,18.68,0.025,20.7,0.1
100,9.468,33.7452,3.188,0.012,0.046,1.79,23.94,0.023,24.1,0.11
119,9.088,33.8588,2.77,0.007,0.043,1.97,28.44,0.017,26.8,0.36
125,9.022,33.8866,2.753,0.006,0.039,2.0,29.29,0.02,27.2,0.31
140,8.86,33.9321,2.576,0.005,0.029,2.06,31.41,0.022,28.2,0.2
150,8.742,33.9622,2.498,0.004,0.03,2.1,32.82,0.02,29.0,0.16
169,8.521,34.0069,2.249,0.003,0.031,2.19,35.51,0.022,30.4,0.07
200,8.142,34.0781,1.849,0.003,0.029,2.37,41.4,0.023,32.6,0.5
0,18.288,33.5978,5.648,0.326,0.073,0.31,0.8,0.012,0.0,0.15
2,18.288,33.5978,5.648,0.326,0.073,0.31,0.8,0.012,0.0,0.15
10,18.228,33.5998,5.658,0.321,0.078,0.32,0.81,0.011,0.0,0.08
20,16.788,33.6173,5.863,0.619,0.218,0.47,1.5,0.12,1.7,0.24
21,16.426,33.6086,5.883,0.649,0.232,0.48,1.57,0.13,1.9,0.26
30,14.669,33.5839,5.789,0.677,0.234,0.5,1.69,0.15,2.3,0.3
31,14.038,33.6008,5.855,0.68,0.234,0.5,1.7,0.149,2.3,0.3
40,11.947,33.4057,5.253,0.541,0.275,0.9,6.86,0.23,8.5,0.15
50,11.838,33.5281,4.969,0.193,0.119,1.08,8.38,0.051,12.1,0.1
60,11.375,33.5564,4.58,0.105,0.101,1.26,12.33,0.035,14.8,0.1
70,10.229,33.5637,3.97,0.043,0.071,1.49,16.93,0.031,18.5,0.1
75,10.178,33.5934,3.874,0.037,0.071,1.56,18.5,0.03,19.7,0.09
120,9.208,33.8288,2.845,0.008,0.051,1.92,27.68,0.022,25.8,0.01
125,9.143,33.8509,2.814,0.008,0.049,1.95,28.51,0.02,26.3,0.03
140,8.808,33.9214,2.543,0.006,0.044,2.04,31.01,0.025,27.8,0.08
150,8.725,33.9567,2.511,0.005,0.039,2.1,32.75,0.03,28.4,0.09
170,8.529,34.021,2.154,0.004,0.029,2.22,36.23,0.025,29.7,0.12
200,8.245,34.0995,1.656,0.003,0.027,2.39,41.89,0.023,31.3,0.06
0,17.459,33.6386,5.752,0.469,0.11,0.35,0.96,0.015,0.0,0.19
2,17.459,33.6386,5.752,0.469,0.11,0.35,0.96,0.015,0.0,0.19
9,17.462,33.6342,5.762,0.37,0.075,0.33,0.93,0.012,0.0,0.11
10,17.464,33.632,5.742,0.368,0.078,0.33,0.93,0.01,0.0,0.11
20,17.241,33.6309,5.778,0.347,0.111,0.35,0.91,0.017,0.0,0.12
30,15.79,33.6069,5.844,1.046,0.337,0.53,1.54,0.103,1.8,0.3
40,12.903,33.5658,5.296,0.665,0.224,0.92,5.87,0.522,8.5,0.05
50,11.986,33.5755,4.889,0.426,0.197,1.16,9.51,0.201,12.9,0.08
60,11.218,33.583,4.323,0.145,0.103,1.37,13.82,0.027,16.4,0.08
70,10.518,33.6366,3.861,0.081,0.089,1.56,17.59,0.02,19.6,0.1
75,10.283,33.6702,3.692,0.065,0.078,1.61,18.97,0.02,20.5,0.08
85,9.836,33.6936,3.396,0.034,0.057,1.71,21.74,0.019,22.4,0.03
100,9.271,33.8115,2.94,0.013,0.045,1.9,26.65,0.016,25.7,0.08
120,8.933,33.9128,2.675,0.007,0.033,2.02,30.38,0.03,27.5,0.05
125,8.919,33.9181,2.653,0.007,0.032,2.05,31.12,0.03,27.9,0.05
140,8.76,33.9793,2.364,0.007,0.03,2.12,33.35,0.03,28.9,0.05
150,8.63,34.02,2.287,0.006,0.03,2.18,35.25,0.03,29.6,0.05
170,8.348,34.0691,1.879,0.004,0.029,2.31,39.04,0.021,31.1,0.06
200,8.201,34.0878,1.734,0.004,0.028,2.36,41.46,0.015,32.1,0.07
0,16.501,33.5807,5.845,0.528,0.097,0.42,1.32,0.045,1.0,0.16
2,16.501,33.5807,5.845,0.528,0.097,0.42,1.32,0.045,1.0,0.16
10,16.475,33.5878,5.845,0.502,0.12,0.42,1.31,0.043,1.0,0.13
20,13.684,33.3017,5.988,0.63,0.153,0.38,2.28,0.055,0.5,0.07
30,13.071,33.2859,5.837,0.602,0.374,0.51,2.95,0.208,2.0,0.11
40,12.512,33.2856,5.638,0.476,0.279,0.61,4.15,0.193,4.0,0.08
50,12.297,33.37,5.63,0.405,0.227,0.77,4.4,0.206,6.3,0.04
60,11.849,33.3577,5.471,0.311,0.12,0.84,5.9,0.041,7.6,0.07
70,10.996,33.3224,5.173,0.144,0.116,0.93,8.46,0.028,9.5,0.09
75,10.449,33.3436,4.819,0.106,0.091,1.08,10.76,0.03,11.9,0.08
85,10.35,33.5312,4.243,0.029,0.041,1.39,15.36,0.02,16.8,0.07
100,9.898,33.5999,3.764,0.017,0.04,1.56,18.86,0.017,19.9,0.02
120,9.241,33.7889,2.953,0.012,0.039,1.89,26.22,0.013,25.0,0.02
125,9.105,33.8379,2.974,0.01,0.039,1.9,26.93,0.01,25.2,0.02
140,8.79,33.8862,2.987,0.005,0.039,1.92,29.04,0.012,25.7,0.02
150,8.701,33.9062,3.045,0.005,0.037,1.96,30.57,0.01,26.3,0.01
170,8.399,33.9688,2.723,0.006,0.033,2.03,33.62,0.013,27.6,0.0
200,8.116,34.0459,1.984,0.003,0.028,2.3,40.28,0.012,30.5,0.0
0,17.046,33.4534,5.713,0.279,0.005,0.32,0.82,0.009,0.0,0.07
3,17.046,33.4534,5.713,0.279,0.005,0.32,0.82,0.009,0.0,0.07
10,17.023,33.4517,5.836,0.254,0.033,0.32,0.8,0.01,0.0,0.06
11,17.008,33.4566,5.839,0.25,0.037,0.32,0.8,0.014,0.0,0.06
14,16.995,33.4513,5.813,0.275,0.026,0.32,0.8,0.008,0.0,0.06
20,16.979,33.4609,5.834,0.307,0.028,0.32,0.77,0.008,0.0,0.05
27,16.957,33.4487,5.848,0.324,0.052,0.32,0.77,0.008,0.0,0.06
30,15.609,33.3725,5.839,0.393,0.069,0.33,0.83,0.01,0.0,0.07
39,15.123,33.3969,6.157,0.6,0.118,0.36,0.99,0.019,0.0,0.09
48,14.309,33.2918,6.007,0.468,0.251,0.39,1.88,0.045,0.4,0.21
50,14.35,33.3613,5.981,0.463,0.26,0.4,1.86,0.05,0.5,0.22
54,13.875,33.3019,5.929,0.453,0.277,0.43,1.82,0.059,0.7,0.23
61,13.596,33.2872,5.915,0.543,0.348,0.42,2.7,0.123,0.5,0.13
70,13.269,33.3057,5.876,0.389,0.196,0.41,3.5,0.074,0.3,0.11
75,12.89,33.284,5.885,0.317,0.16,0.5,3.93,0.06,2.0,0.09
85,12.008,33.2928,5.504,0.173,0.088,0.69,4.8,0.031,5.3,0.04
100,11.082,33.3693,5.156,0.073,0.058,0.97,8.72,0.02,10.0,0.02
101,11.047,33.3652,5.077,0.066,0.056,0.99,8.98,0.023,10.3,0.02
119,10.213,33.5239,4.178,0.027,0.041,1.41,16.24,0.019,17.2,0.03
125,10.303,33.6268,3.882,0.024,0.043,1.5,17.99,0.02,18.6,0.05
141,9.522,33.7076,3.356,0.015,0.05,1.74,22.67,0.017,22.2,0.12
150,9.347,33.77,3.209,0.012,0.049,1.81,24.6,0.02,23.2,0.11
171,8.963,33.8726,2.788,0.006,0.047,1.96,29.1,0.015,25.5,0.1
200,8.367,33.9625,2.708,0.003,0.039,2.03,33.31,0.021,27.0,0.08
0,17.223,33.3888,5.715,0.233,0.046,0.37,1.13,0.017,0.0,0.13
2,17.223,33.3888,5.715,0.233,0.046,0.37,1.13,0.017,0.0,0.13
10,16.858,33.3808,5.742,0.23,0.049,0.34,1.07,0.01,0.0,0.12
11,16.841,33.3839,5.745,0.23,0.049,0.34,1.06,0.014,0.0,0.12
20,16.716,33.3835,5.88,0.343,0.098,0.36,0.94,0.02,0.1,0.13
21,16.253,33.3835,5.887,0.355,0.103,0.36,0.93,0.022,0.1,0.13
30,14.871,33.3852,6.105,0.333,0.119,0.43,1.19,0.059,0.9,0.24
50,13.733,33.4464,5.814,0.303,0.186,0.57,1.15,0.14,2.1,0.71
51,14.063,33.4495,5.899,0.302,0.189,0.58,1.15,0.143,2.2,0.73
61,12.694,33.2451,5.704,0.243,0.275,0.52,3.62,0.281,2.2,0.2
70,12.091,33.2218,5.55,0.178,0.155,0.62,4.93,0.05,4.2,0.18
75,11.979,33.2471,5.568,0.15,0.136,0.7,5.58,0.04,5.4,0.2
85,12.068,33.3409,5.304,0.095,0.099,0.85,6.87,0.029,7.7,0.24
100,11.344,33.472,4.856,0.037,0.054,1.14,10.5,0.027,12.4,0.06
120,9.795,33.48,4.332,0.02,0.039,1.38,16.18,0.025,16.8,0.12
125,9.576,33.5532,4.228,0.018,0.041,1.45,17.57,0.02,17.9,0.11
140,9.225,33.658,3.849,0.01,0.048,1.64,21.74,0.02,21.0,0.08
150,9.089,33.7569,3.682,0.008,0.04,1.68,23.19,0.02,21.8,0.09
170,8.905,33.8394,3.453,0.005,0.025,1.76,26.09,0.018,23.3,0.1
200,8.41,33.9442,3.094,0.004,0.024,1.91,31.63,0.017,25.7,0.08
0,17.136,33.2354,5.625,0.166,0.037,0.33,2.01,0.011,0.0,0.08
2,17.136,33.2354,5.625,0.166,0.037,0.33,2.01,0.011,0.0,0.08
10,17.137,33.2371,5.631,0.161,0.034,0.33,1.99,0.012,0.0,0.06
20,16.539,33.2549,5.794,0.191,0.041,0.33,1.84,0.009,0.0,0.04
30,15.492,33.1923,5.942,0.265,0.048,0.33,2.18,0.012,0.0,0.05
40,15.08,33.2064,6.012,0.342,0.055,0.35,2.08,0.013,0.0,0.13
50,14.747,33.2268,6.028,0.451,0.128,0.36,2.01,0.011,0.0,0.13
60,14.343,33.2548,5.948,0.419,0.278,0.36,2.12,0.014,0.0,0.13
70,13.64,33.2402,5.888,0.356,0.294,0.4,2.47,0.103,0.3,0.22
75,13.467,33.2452,5.949,0.301,0.267,0.43,2.77,0.18,0.8,0.19
85,12.464,33.1817,5.778,0.192,0.214,0.5,3.38,0.337,1.7,0.12
99,11.837,33.2546,5.503,0.104,0.106,0.67,5.43,0.033,5.1,0.05
100,11.739,33.2552,5.496,0.102,0.103,0.69,5.64,0.03,5.4,0.05
120,10.762,33.3358,4.948,0.053,0.046,1.0,9.89,0.024,10.7,0.01
125,10.654,33.3644,4.931,0.045,0.042,1.09,11.32,0.02,12.1,0.02
140,9.972,33.4995,4.326,0.021,0.029,1.35,15.61,0.021,16.3,0.04
150,9.644,33.6695,3.934,0.016,0.025,1.49,18.69,0.02,18.6,0.04
171,9.209,33.793,3.279,0.006,0.017,1.78,25.17,0.016,23.3,0.04
200,8.689,33.9577,2.626,0.001,0.018,2.07,32.57,0.01,27.1,0.08
201,8.681,33.9606,2.582,0.001,0.018,2.08,32.83,0.01,27.2,0.08
0,17.835,33.4108,5.508,0.133,0.028,0.3,2.31,0.012,0.0,0.07
2,17.835,33.4108,5.508,0.133,0.028,0.3,2.31,0.012,0.0,0.07
10,17.84,33.4197,5.51,0.128,0.029,0.3,2.27,0.013,0.0,0.17
20,17.622,33.4128,5.59,0.117,0.026,0.31,2.35,0.01,0.0,0.2
26,16.499,33.3203,5.741,0.111,0.024,0.31,2.4,0.012,0.0,0.21
30,16.72,33.3964,5.753,0.114,0.024,0.3,2.45,0.01,0.0,0.19
40,16.738,33.5039,5.678,0.12,0.025,0.27,2.58,0.009,0.0,0.13
50,15.99,33.4437,5.783,0.165,0.038,0.28,2.62,0.013,0.0,0.35
62,15.112,33.4147,5.934,0.201,0.06,0.28,2.62,0.011,0.0,0.12
